Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
saucedemo,,,,2023-12-31 19:57:57,2023-12-31 19:57:58,0.400s,PASSED
,,,,,,,
Test Cases/saucedemo,,,,2023-12-31 19:57:58,2023-12-31 19:57:58,0.242s,PASSED
return null,,,,2023-12-31 19:57:58,2023-12-31 19:57:58,0.003s,PASSED
