Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
saucedemo,,,,2023-12-31 19:55:24,2023-12-31 19:55:25,0.380s,PASSED
,,,,,,,
Test Cases/saucedemo,,,,2023-12-31 19:55:24,2023-12-31 19:55:25,0.218s,PASSED
return null,,,,2023-12-31 19:55:25,2023-12-31 19:55:25,0.006s,PASSED
